Brands,Type,SKU,MPN,Name,Description,Short description,Categories
Columbia Taping Tools,variation,10FBB,10FBB,"Columbia 10"" Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,12FBB,12FBB,"Columbia 12"" Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,55FBB,55FBB,"Columbia 5.5"" Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8FBB,8FBB,"Columbia 8"" Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-FBBA,COL-FBBA,Columbia Fat Boy Automatic Assist Drywall Flat Box,"<p>The Columbia Fat Boy Automatic Assist Flat Box combines extreme capacity with effortless operation. Designed for high-volume production, these boxes feature an engaging axle that puts pressure on the compound chamber, making them over 50% easier to push than standard boxes. Available in 8"", 10"", and 12"" sizes, the Fat Boy Automatic Assist holds 30% more mud, significantly reducing trips to the pump. Built from premium U.S. billet aluminum and steel, these boxes are fine-tuned for professional results on flat and vertical joints while minimizing operator fatigue.</p><ul><li><strong>Automatic Assist:</strong> Axle-driven spring pressure makes the box 50% easier to push.</li><li><strong>Maximized Capacity:</strong> Fat Boy design holds 30% more compound for longer runs.</li><li><strong>Superior Finish:</strong> Precision-metered output for flawless, paint-ready flat joints.</li><li><strong>Heavy-Duty Construction:</strong> Hand-made billet aluminum build for maximum job site longevity.</li><li><strong>Available Sizes:</strong> 8"" (8FBBA), 10"" (10FBBA), and 12"" (12FBBA).</li></ul>","Columbia Fat Boy Automatic Assist Flat Box (8""–12"") features 50% easier pushing and 30% more mud capacity for high-efficiency drywall finishing.",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,10FBBA,10FBBA,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,12FBBA,12FBBA,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8FBBA,8FBBA,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-FFB,COL-FFB,Columbia Flat Finishing Box,"<p>Columbia Flat Finishing Boxes are professional-grade tools designed to deliver the smoothest finish on flat and butt joints. Available in a full range of sizes including 5.5"", 7"", 8"", 10"", 12"", and 14"", these boxes are meticulously built and fine-tuned for years of reliable performance. Featuring a manual sweeping grip for tight spaces and a bead wheel to protect the axle from wear, Columbia Flat Boxes are widely recognized as the easiest to push in the industry. Hand-made from U.S. billet aluminum and steel, they offer unmatched durability and precision for professional drywall contractors.</p><ul><li><strong>Industry-Leading Smoothness:</strong> Renowned for being the easiest-to-push finishing boxes on the market.</li><li><strong>Precision Metering:</strong> Delivers flawless, consistent compound application for paint-ready joints.</li><li><strong>Maneuverability:</strong> Features a manual sweeping grip for high performance in confined spaces.</li><li><strong>Durable Billet Construction:</strong> Built from premium materials in Canada for extreme job site longevity.</li><li><strong>Full Size Range:</strong> Available in 5.5"", 7"", 8"", 10"", 12"", and 14"" widths.</li></ul>","Professional Columbia Flat Finishing Box (5.5""–14"") engineered for the smoothest application and extreme durability. Hand-made billet aluminum construction.",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,10FFB,10FFB,"Columbia 10"" Flat Finishing Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,12FFB,12FFB,"Columbia 12"" Flat Finishing Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,14FFB,14FFB,"Columbia 14"" Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,55FFB,55FFB,"Columbia 5.5"" Flat Finishing Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,7FFB,7FFB,"Columbia 7"" Flat Finishing Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8FFB,8FFB,"Columbia 8"" Flat Finishing Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-FFBA,COL-FFBA,Columbia Automatic Flat Box,"<p>The Columbia Automatic Assist Flat Box is engineered to maximize efficiency and reduce operator fatigue. Available in 8"", 10"", 12"", and 14"" sizes, these boxes feature an integrated axle and pressure plate system that automates mud application, requiring only a light push to operate. Precision metering adjustments ensure a top-quality finish on butt joints and flat seams. Built from handcrafted U.S. billet aluminum and steel, these boxes include an ultra-reliable door plate wiper and a bead wheel for axle protection, ensuring long-term reliability and a flawless finish every time.</p><ul><li><strong>Automatic Assist:</strong> Engaging axle reduces push effort by 50%, ideal for vertical joints and long shifts.</li><li><strong>Precision Metering:</strong> Adjustable compound regulation for consistent, high-quality finishing.</li><li><strong>Rugged Billet Build:</strong> Hand-made construction with premium materials for extreme job site durability.</li><li><strong>Enhanced Reliability:</strong> New door plate wiper resists expansion and deterioration for longer service intervals.</li><li><strong>Available Sizes:</strong> 8"" (8FFBA), 10"" (10FFBA), 12"" (12FFBA), and 14"" (14FFBA).</li></ul>","Columbia Automatic Assist Flat Box (8""–14"") for effortless, professional drywall finishing. Reduces push effort by 50% with precision mud metering.",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,10FFBA,10FFBA,"Columbia 10"" Automatic Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,12FFBA,12FFBA,"Columbia 12"" Automatic Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,14FFBA,14FFBA,"Columbia 14"" Automatic Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8FFBA,8FFBA,"Columbia 8"" Automatic Assist Drywall Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-GN,COL-GN,Columbia Gooseneck,"<p>The Columbia Gooseneck is a professional-grade stainless steel attachment designed for efficient compound transfer from your loading pump to an automatic taper. Available in standard and Tallboy configurations, these goosenecks feature rubber covers on the horseshoe to protect your taper's finish during filling. Engineered for high-volume production, they provide a secure, leak-free connection and long-term resistance to corrosion.</p><ul><li><strong>Taper Protection:</strong> Integrated rubber horseshoe covers prevent damage to automatic tapers during refills.</li><li><strong>Heavy-Duty Stainless Steel:</strong> Built for extreme durability and long-term rust resistance.</li><li><strong>High-Flow Design:</strong> Optimized for rapid, mess-free compound transfer.</li><li><strong>Available Models:</strong> Standard Gooseneck (GN) and Tall Boy Gooseneck (TBGN).</li><li><strong>Canadian Quality:</strong> Machined in Canada using premium U.S. materials.</li></ul>","Columbia Stainless Steel Gooseneck (Standard or Tall Boy) for efficient, protective automatic taper filling. Features rubber horseshoe covers.",Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,GN,GN,Columbia Gooseneck,,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variation,TBGN,TBGN,Columbia Tall Boy Gooseneck,,,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
Columbia Taping Tools,variable,COL-ITFB,COL-ITFB,Columbia Inside Track Fat Boy Flat Box,"<p>The Columbia Inside Track Fat Boy Flat Box is a high-capacity tool engineered for specialized finishing in tight areas, such as corner bead, butt joints, and around ceiling pot lights. Available in 8"", 10"", and 12"" widths, the Inside Track design holds 30% more compound than standard boxes, reducing trips to the pump. These boxes are compatible with all leading flat box brake handles and feature a quick-clean design that allows access to the interior without removing the pressure plate. Hand-made from U.S. billet aluminum and steel, they are the professional choice for tricky architectural areas.</p><ul><li><strong>Specialized Geometry:</strong> Inside Track design makes finishing bead and pot light areas simpler and faster.</li><li><strong>30% More Capacity:</strong> Fat Boy reservoir reduces refill downtime and increases daily output.</li><li><strong>Quick Clean:</strong> Convenient access for easy cleaning without full disassembly.</li><li><strong>Universal Handle Fit:</strong> Compatible with all major drywall flat box finisher brake handles.</li><li><strong>Available Sizes:</strong> 8"" (8ITFB), 10"" (10ITFB), and 12"" (12ITFB).</li></ul>","Columbia Inside Track Fat Boy Flat Box (8""–12"") with 30% more capacity. Optimized for bead, pot lights, and tricky finishing areas.",Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,10ITFB,10ITFB,"Columbia 10"" Inside Track Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,12ITFB,12ITFB,"Columbia 12"" Inside Track Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variation,8ITFB,8ITFB,"Columbia 8"" Inside Track Fat Boy Flat Box",,,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes
Columbia Taping Tools,variable,COL-NS,COL-NS,Columbia Nailspotter,"<p>The Columbia Nailspotter is a professional-grade tool designed to automate the finishing of fastener heads with speed and precision. Available in 2"" and 3"" widths, these spotters feature a lightweight billet aluminum construction and an adjustable thumb screw for fine-tuning swivel tension. Unique to the Columbia design is the option to utilize wheels for smooth tracking or the traditional skid plate for standard operation. Engineered for high-volume production, the Columbia Nailspotter is widely regarded as the most efficient and versatile spotter on the market.</p><ul><li><strong>Dual Tracking Options:</strong> Choose between wheels for low-friction movement or a traditional skid plate.</li><li><strong>Swivel Control:</strong> Easy-to-adjust thumb screw allows for precise tensioning of the tool head.</li><li><strong>Lightweight Billet:</strong> Constructed from premium aluminum for reduced operator fatigue and extreme durability.</li><li><strong>Professional Finish:</strong> Fills and wipes fastener heads in a single, clean pass.</li><li><strong>Available Sizes:</strong> 2"" (2NS) and 3"" (3NS).</li></ul>","Premium Columbia Nailspotter (2"" or 3"") with optional wheel tracking and adjustable swivel tension. Professional-grade billet aluminum construction.",Drywall Finishing Tools > Columbia Taping Tools > Spotters
Columbia Taping Tools,variation,2NS,2NS,"Columbia 2"" Nailspotter",,,Drywall Finishing Tools > Columbia Taping Tools > Spotters
Columbia Taping Tools,variation,3NS,3NS,"Columbia 3"" Nailspotter",,,Drywall Finishing Tools > Columbia Taping Tools > Spotters
Columbia Taping Tools,variable,COL-SB2,COL-SB2,Columbia Replacement Blade for Tomahawk Smoothing Blade,"<p>The Columbia Replacement Blade for Tomahawk Smoothing Blades ensures your premium skimming tools maintain factory-standard performance. These interchangeable blades are crafted from professional-grade stainless steel, providing the perfect flex for wiping down tape or achieving high-quality wall and ceiling finishes. Available in a full range of widths from 7"" to 32"", these blades allow you to keep the durable Tomahawk body and simply replace the blade when it becomes worn or damaged.</p><ul><li><strong>Stainless Steel Performance:</strong> High-grade steel provides optimal flex and resistance to abrasion.</li><li><strong>Interchangeable Design:</strong> Easily switch out blades to maintain a sharp, clean finish.</li><li><strong>Cost-Efficient:</strong> Keep the premium billet aluminum body and only replace the wearing component.</li><li><strong>Available Sizes:</strong> 7"" (SB27), 12"" (SB212), 14"" (SB214), 18"" (SB218), 24"" (SB224), and 32"" (SB232).</li><li><strong>Precision Machined:</strong> Manufactured in Canada to match the exact specifications of the Tomahawk series.</li></ul>","Premium Stainless Steel replacement blades for Columbia Tomahawk Smoothing Blades. Available in widths from 7"" to 32"".",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB212,SB212,"Columbia Replacement 12"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB214,SB214,"Columbia Replacement 14"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB218,SB218,"Columbia Replacement 18"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB224,SB224,"Columbia Replacement 24"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB232,SB232,"Columbia Replacement 32"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SB27,SB27,"Columbia Replacement 7"" Blade for Tomahawk",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variable,COL-SF,COL-SF,Columbia Standard Corner Flusher,"<p>Columbia Standard Corner Flushers represent a professional advancement in angle finishing, designed to deliver a flawless, ready-to-paint finish. Available in 2.5"", 3"", and 3.5"" widths, each unit is hand-ground and checked on a granite plate to ensure absolute precision. These flushers are built from high-grade U.S. aluminum and steel, offering extreme durability for daily use. Every unit comes standard with wheels for low-friction movement and includes an Allen key for those who prefer to operate without them.</p><ul><li><strong>Precision Hand-Ground:</strong> Individually verified on a granite plate for perfect corner geometry.</li><li><strong>Ready-to-Paint Finish:</strong> Engineered to smooth joint compound with zero drag for professional results.</li><li><strong>Fluid Movement:</strong> Integrated wheels provide a smooth glide across walls and ceilings.</li><li><strong>Rugged Build:</strong> Hand-made from U.S. billet aluminum and steel, machined in Canada.</li><li><strong>Available Sizes:</strong> 2.5"" (25SF), 3"" (3SF), and 3.5"" (35SF).</li></ul>","Columbia Standard Corner Flusher (2.5""–3.5"") hand-ground for precision. Features integrated wheels for a smooth, ready-to-paint internal corner finish.",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,25SF,25SF,"Columbia 2.5"" Standard Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,35SF,35SF,"Columbia 3.5"" Standard Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variation,3SF,3SF,"Columbia 3"" Standard Corner Flusher",,,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,variable,COL-SSB,COL-SSB,Columbia Sabre Smoothing Blade,"<p>The Columbia Sabre Smoothing Blade is a lightweight, high-performance skimming tool designed for professional drywall finishers. Featuring a high-quality plastic body that is approximately 60% lighter than traditional billet aluminum models, the Sabre offers superior maneuverability and control without compromising on finish quality. Available in a comprehensive range of sizes from 7"" to 48"", it utilizes a hardened stainless steel blade with rounded anti-trace edges to deliver flawlessly smooth surfaces. Whether used by hand or with an extension pole via the Sabre Claw adapter, the Sabre provides an ergonomic and affordable solution for large-scale finishing projects.</p><ul><li><strong>Ultra-Lightweight Design:</strong> 60% lighter than aluminum blades to significantly reduce operator fatigue.</li><li><strong>Precision Finish:</strong> Hardened stainless steel blade with Bi-Flex technology for enhanced control.</li><li><strong>Anti-Trace Edges:</strong> Rounded corners minimize lines and imperfections during skimming.</li><li><strong>Versatile Range:</strong> Available in 10 sizes: 7"", 10"", 12"", 14"", 16"", 18"", 24"", 32"", 40"", and 48"".</li><li><strong>Flexible Use:</strong> Compatible with manual use or extension poles via the Sabre Claw (SBC) adapter.</li></ul>","Lightweight Columbia Sabre Smoothing Blade (7""–48"") with hardened stainless steel and anti-trace edges for professional, fatigue-free skimming.",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB10,SSB10,"Columbia 10"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB12,SSB12,"Columbia 12"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB14,SSB14,"Columbia 14"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB16,SSB16,"Columbia 16"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB18,SSB18,"Columbia 18"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB24,SSB24,"Columbia 24"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB40,SSB40,"Columbia 40"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB48,SSB48,"Columbia 48"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,SSB7,SSB7,"Columbia 7"" Sabre Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variable,COL-TSB,COL-TSB,Columbia Tomahawk Smoothing Blade,"<p>The Columbia Tomahawk Smoothing Blade is the most durable skimming tool on the market, engineered for professional contractors who demand stability and precision. Machined from solid U.S. billet aluminum, the Tomahawk features an interchangeable stainless steel blade system that eliminates the risk of snapping under pressure. Available in 9 sizes from 7"" to 48"", these blades integrate with standard flat box handles or the Columbia One handle via the Tomalock adapter. This system provides unmatched stability and allows for precise adjustments to the angle of attack while in motion, delivering a superior, paint-ready finish.</p><ul><li><strong>Billet Aluminum Body:</strong> Solid construction for maximum stability and long-term durability.</li><li><strong>Interchangeable Blades:</strong> Replace only the stainless steel blade when worn, extending the life of the tool body.</li><li><strong>High-Stability Control:</strong> Compatible with flat box handles for superior leverage and angle adjustment.</li><li><strong>Versatile Range:</strong> Available in sizes: 7"", 10"", 12"", 14"", 18"", 24"", 32"", 40"", and 48"".</li><li><strong>Canadian Precision:</strong> Machined in Columbia's state-of-the-art facility for guaranteed performance.</li></ul>","Professional Columbia Tomahawk Smoothing Blade (7""–48"") featuring a solid billet aluminum body and interchangeable stainless steel blades for superior skimming.",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB10,TSB10,"Columbia 10"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB12,TSB12,"Columbia 12"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB14,TSB14,"Columbia 14"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB18,TSB18,"Columbia 18"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB24,TSB24,"Columbia 24"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB32,TSB32,"Columbia 32"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB40,TSB40,"Columbia 40"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB48,TSB48,"Columbia 48"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,variation,TSB7,TSB7,"Columbia 7"" Tomahawk Smoothing Blade",,,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,simple,COLUMBIAMUDPANS3,COLUMBIAMUDPANS3,Trowels,"<h3 data-ogsc="""">Premium Finishing Trowels</h3> <p data-end=""317"" data-start=""0"">Introducing Columbia Trowels – engineered for professionals who demand superior flexibility, strength, and control on every job. Built with hardened stainless steel blades and ground edges with round corners, these trowels deliver smooth, consistent results across a wide range of drywall and finishing tasks.</p> <p data-end=""663"" data-start=""319"">From the ultra-responsive .3 Super-Flex to the robust .7 Pro-Flex Gold, Columbia offers a full line of trowels in sizes from 12″ to 18″, each designed for a specific level of flex and feel. The ultra-light aluminum high-alloy bar ensures exceptional balance, while the ergonomic, replaceable cork handle provides comfort during long hours of use.</p> <p data-end=""756"" data-is-last-node="""" data-is-only-node="""" data-start=""665"">100% made in Poland, Columbia Trowels are the professional’s choice for quality that lasts.</p> <p data-ogsc=""""><strong>Available Products &amp; Sizes:</strong></p> <ul> <li> <p data-ogsc="""">.7 Pro-Flex Gold Trowel: 12″, 14″, 16″, 18″</p> <p data-ogsc="""">.7 Curved Gold Trowel: 12″, 14″, 16″</p> <p data-ogsc="""">.4 Curved Silver Trowel: 12″, 14″</p> <p data-ogsc="""">.3 Super-Flex Gold Trowel: 12″, 14″</p> <p data-ogsc=""""><strong>Key Features:</strong></p> <ul> <li> <p data-ogsc="""">Ground Edges &amp; Round Corners</p> <p data-ogsc="""">Extreme Quality Hardened Stainless Steel Blade</p> <p data-ogsc="""">Ultra-Light Aluminum High-Alloy Bar</p> <p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p> <p data-ogsc="""">100% Made in Poland</p> <p><strong>Individual Part Numbers:</strong></p> <p data-ogsc="""">12-4.7-0.7-G-C – 12″ GOLD FINISHING TROWEL</p> <p data-ogsc="""">14-4.7-0.7-G-C – 14″ GOLD FINISHING TROWEL</p> <p data-ogsc="""">16-4.7-0.7-G-C – 16″ GOLD FINISHING TROWEL</p> <p data-ogsc="""">18-4.7-0.7-G-C – 18″ GOLD FINISHING TROWEL</p> <p data-ogsc="""">12-4.7-0.7-G-C-C – 12″ GOLD CURVE TROWEL</p> <p data-ogsc="""">14-4.7-0.7-G-C-C – 14″ GOLD CURVE TROWEL</p> <p data-ogsc="""">16-4.7-0.7-G-C-C – 16″ GOLD CURVE TROWEL</p> <p data-ogsc="""">12-4.7-0.4-S-C-C – 12″ SILVER CURVE TROWEL</p> <p data-ogsc="""">14-4.7-0.4-S-C-C – 14″ SILVER CURVE TROWEL</p> <p data-ogsc="""">12-4.3-0.3-G-C – 12″ GOLD FINISHING TROWEL .3MM</p> <p data-ogsc="""">14-4.3-0.3-G-C – 14″ GOLD FINISHING TROWEL .3MM</p></li></ul></li></ul>","Premium Finishing Trowels Introducing Columbia Trowels – engineered for professionals who demand superior flexibility, strength, and control on every job. Built with hardened stainless steel blades…",Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,simple,COMBOFLUSHER,COMBOFLUSHER,Combo Flusher,"<p>(2.5CSF, 3CSF, 3.5CSF, 3WTCSF)</p> <p>Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <h4>FEATURES:</h4> <ul> <li>Precision hand ground and set</li> <li>4 designs: 2.5″, 3″, 3.5″ &amp; wide track</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>","(2.5CSF, 3CSF, 3.5CSF, 3WTCSF) Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate…",Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools
Columbia Taping Tools,simple,CORNERROLLERMAINTENANCEKITS,CORNERROLLERMAINTENANCEKITS,Corner Roller Maintenance Kits,"<p><strong>Corner Roller Maintenance Kits</strong> is a genuine OEM roller or wheel component for Columbia Taping Tools automatic taping systems. This roller or wheel component maintains consistent tape crease geometry and pressure during application. Worn rollers produce uneven tape seating, edge lifting, and inconsistent corner profiles.</p><p>Order by part number <strong>CORNERROLLERMAINTENANCEKITS</strong> for guaranteed compatibility with your Columbia Taping Tools tools.</p><table><thead><tr><th>Specification</th><th>Detail</th></tr></thead><tbody><tr><td>Brand</td><td>Columbia Taping Tools</td></tr><tr><td>Part Number</td><td>CORNERROLLERMAINTENANCEKITS</td></tr></tbody></table>",Genuine Columbia Taping Tools OEM roller or wheel component — Corner Roller Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CORNERROLLERMAINTENANCEKITS.,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts
Columbia Taping Tools,simple,CPFGN,CPFGN,Columbia Graco Powerfill Gooseneck,<p>The Columbia Taping Tools Columbia Graco Powerfill Gooseneck (Part #CPFGN) is a genuine OEM replacement component for Columbia automatic taping and drywall finishing systems. This exact-fit part ensures proper tool operation and restores your equipment to original performance standards. Use genuine Columbia OEM components for the best fit and long-lasting results.</p>,Genuine Columbia Taping Tools OEM replacement part — Columbia Graco Powerfill Gooseneck. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: CPFGN.,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories
