sku,type,name,match_source,image_count,images,variation_image,catalog_images,status
TK10BSTT,variation,"TapeTech Premium Blue Steel Taping Knife - 10""",primary:sku_direct,2,tapetech-TK10BSTT-01.webp | tapetech-TK10BSTT-02.webp,tapetech-TK10BSTT-01.webp,tapetech-TK10BSTT-01.webp | tapetech-TK10BSTT-02.webp,mapped
TK12BSTT,variation,"TapeTech Premium Blue Steel Taping Knife - 12""",primary:sku_direct,2,tapetech-TK12BSTT-01.webp | tapetech-TK12BSTT-02.webp,tapetech-TK12BSTT-01.webp,tapetech-TK12BSTT-01.webp | tapetech-TK12BSTT-02.webp,mapped
TK14BSTT,variation,"TapeTech Premium Blue Steel Taping Knife - 14""",primary:sku_direct,2,tapetech-TK14BSTT-01.webp | tapetech-TK14BSTT-02.webp,tapetech-TK14BSTT-01.webp,tapetech-TK14BSTT-01.webp | tapetech-TK14BSTT-02.webp,mapped
TT-PREMIUM-STAINLESS-STEEL-TAPING-KNIFE,variable,TapeTech Premium Stainless Steel Taping Knife,children,8,tapetech-TK08SSTT-01.webp | tapetech-TK08SSTT-02.webp | tapetech-TK10SSTT-01.webp | tapetech-TK10SSTT-02.webp | tapetech-TK12SSTT-01.webp | tapetech-TK12SSTT-02.webp | tapetech-TK14SSTT-01.webp | tapetech-TK14SSTT-02.webp,,tapetech-TK08SSTT-01.webp | tapetech-TK08SSTT-02.webp | tapetech-TK10SSTT-01.webp | tapetech-TK10SSTT-02.webp | tapetech-TK12SSTT-01.webp | tapetech-TK12SSTT-02.webp | tapetech-TK14SSTT-01.webp | tape,mapped
TK08SSTT,variation,"TapeTech Premium Stainless Steel Taping Knife - 8""",primary:sku_direct,2,tapetech-TK08SSTT-01.webp | tapetech-TK08SSTT-02.webp,tapetech-TK08SSTT-01.webp,tapetech-TK08SSTT-01.webp | tapetech-TK08SSTT-02.webp,mapped
TK10SSTT,variation,"TapeTech Premium Stainless Steel Taping Knife - 10""",primary:sku_direct,2,tapetech-TK10SSTT-01.webp | tapetech-TK10SSTT-02.webp,tapetech-TK10SSTT-01.webp,tapetech-TK10SSTT-01.webp | tapetech-TK10SSTT-02.webp,mapped
TK12SSTT,variation,"TapeTech Premium Stainless Steel Taping Knife - 12""",primary:sku_direct,2,tapetech-TK12SSTT-01.webp | tapetech-TK12SSTT-02.webp,tapetech-TK12SSTT-01.webp,tapetech-TK12SSTT-01.webp | tapetech-TK12SSTT-02.webp,mapped
TK14SSTT,variation,"TapeTech Premium Stainless Steel Taping Knife - 14""",primary:sku_direct,2,tapetech-TK14SSTT-01.webp | tapetech-TK14SSTT-02.webp,tapetech-TK14SSTT-01.webp,tapetech-TK14SSTT-01.webp | tapetech-TK14SSTT-02.webp,mapped
TT-X-PREMIUM-GOLD-STAINLESS-STEEL-ROUNDED-FRONT-POO,variable,TapeTech X Premium Gold Stainless Steel Pool Trowel,children,8,tapetech-TGP120565-PS-01.webp | tapetech-TGP120565-PS-02.webp | tapetech-TGP140565-PS-01.webp | tapetech-TGP140565-PS-02.webp | tapetech-TGP160565-PS-01.webp | tapetech-TGP160565-PS-02.webp | tapetech-TGP180565-PS-01.webp | tapetech-TGP180565-PS-02.webp,,tapetech-TGP120565-PS-01.webp | tapetech-TGP120565-PS-02.webp | tapetech-TGP140565-PS-01.webp | tapetech-TGP140565-PS-02.webp | tapetech-TGP160565-PS-01.webp | tapetech-TGP160565-PS-02.webp | tapetech,mapped
TGP120565-PS,variation,"TapeTech X Premium Gold Stainless Steel Pool Trowel - 12""",primary:sku_direct,2,tapetech-TGP120565-PS-01.webp | tapetech-TGP120565-PS-02.webp,tapetech-TGP120565-PS-01.webp,tapetech-TGP120565-PS-01.webp | tapetech-TGP120565-PS-02.webp,mapped
TGP140565-PS,variation,"TapeTech X Premium Gold Stainless Steel Pool Trowel - 14""",primary:sku_direct,2,tapetech-TGP140565-PS-01.webp | tapetech-TGP140565-PS-02.webp,tapetech-TGP140565-PS-01.webp,tapetech-TGP140565-PS-01.webp | tapetech-TGP140565-PS-02.webp,mapped
TGP160565-PS,variation,"TapeTech X Premium Gold Stainless Steel Pool Trowel - 16""",primary:sku_direct,2,tapetech-TGP160565-PS-01.webp | tapetech-TGP160565-PS-02.webp,tapetech-TGP160565-PS-01.webp,tapetech-TGP160565-PS-01.webp | tapetech-TGP160565-PS-02.webp,mapped
TGP180565-PS,variation,"TapeTech X Premium Gold Stainless Steel Pool Trowel - 18""",primary:sku_direct,2,tapetech-TGP180565-PS-01.webp | tapetech-TGP180565-PS-02.webp,tapetech-TGP180565-PS-01.webp,tapetech-TGP180565-PS-01.webp | tapetech-TGP180565-PS-02.webp,mapped
TT-135-OUTSIDE-CORNER-EDGER,variable,TapeTech 135° Outside Corner Edger,children,3,tapetech-EEX125135-01.webp | tapetech-EEX200135-01.webp | tapetech-EEX275135-01.webp,,tapetech-EEX125135-01.webp | tapetech-EEX200135-01.webp | tapetech-EEX275135-01.webp,mapped
EEX125135,variation,"TapeTech 135° Outside Corner Edger - 1.25""",primary:sku_direct,1,tapetech-EEX125135-01.webp,tapetech-EEX125135-01.webp,tapetech-EEX125135-01.webp,mapped
EEX200135,variation,"TapeTech 135° Outside Corner Edger - 2""",primary:sku_direct,1,tapetech-EEX200135-01.webp,tapetech-EEX200135-01.webp,tapetech-EEX200135-01.webp,mapped
EEX275135,variation,"TapeTech 135° Outside Corner Edger - 2.75""",primary:sku_direct,1,tapetech-EEX275135-01.webp,tapetech-EEX275135-01.webp,tapetech-EEX275135-01.webp,mapped
TT-COMPOUND-TUBE,variable,TapeTech Compound Tube,children,3,tapetech-CT24TT-01.webp | tapetech-CT36TT-01.webp | tapetech-CT42TT-01.webp,,tapetech-CT24TT-01.webp | tapetech-CT36TT-01.webp | tapetech-CT42TT-01.webp,mapped
CT24TT,variation,"TapeTech Compound Tube - 24""",primary:sku_direct,1,tapetech-CT24TT-01.webp,tapetech-CT24TT-01.webp,tapetech-CT24TT-01.webp,mapped
CT36TT,variation,"TapeTech Compound Tube - 36""",primary:sku_direct,1,tapetech-CT36TT-01.webp,tapetech-CT36TT-01.webp,tapetech-CT36TT-01.webp,mapped
CT42TT,variation,"TapeTech Compound Tube - 42""",primary:sku_direct,1,tapetech-CT42TT-01.webp,tapetech-CT42TT-01.webp,tapetech-CT42TT-01.webp,mapped
TT-MAXXBOX,variable,TapeTech MAXXBOX® High Capacity Finishing Box,children,15,tapetech-EHC07-01.webp | tapetech-EHC07-02.webp | tapetech-EHC07-03.webp | tapetech-EHC07-04.webp | tapetech-EHC07-05.webp | tapetech-EHC10-01.webp | tapetech-EHC10-02.webp | tapetech-EHC10-04.webp | tapetech-EHC10-05.webp | tapetech-EHC10-06.webp | tapetech-EHC12-01.webp | tapetech-EHC12-02.webp | tapetech-EHC12-03.webp | tapetech-EHC12-04.webp | tapetech-EHC12-05.webp,,tapetech-EHC07-01.webp | tapetech-EHC07-02.webp | tapetech-EHC07-03.webp | tapetech-EHC07-04.webp | tapetech-EHC07-05.webp | tapetech-EHC10-01.webp | tapetech-EHC10-02.webp | tapetech-EHC10-04.webp | ,mapped
EHC07,variation,"TapeTech MAXXBOX® High Capacity Finishing Box - 7""",primary:sku_direct,5,tapetech-EHC07-01.webp | tapetech-EHC07-02.webp | tapetech-EHC07-03.webp | tapetech-EHC07-04.webp | tapetech-EHC07-05.webp,tapetech-EHC07-01.webp,tapetech-EHC07-01.webp | tapetech-EHC07-02.webp | tapetech-EHC07-03.webp | tapetech-EHC07-04.webp | tapetech-EHC07-05.webp,mapped
EHC10,variation,"TapeTech MAXXBOX® High Capacity Finishing Box - 10""",primary:sku_direct,5,tapetech-EHC10-01.webp | tapetech-EHC10-02.webp | tapetech-EHC10-04.webp | tapetech-EHC10-05.webp | tapetech-EHC10-06.webp,tapetech-EHC10-01.webp,tapetech-EHC10-01.webp | tapetech-EHC10-02.webp | tapetech-EHC10-04.webp | tapetech-EHC10-05.webp | tapetech-EHC10-06.webp,mapped
EHC12,variation,"TapeTech MAXXBOX® High Capacity Finishing Box - 12""",primary:sku_direct,5,tapetech-EHC12-01.webp | tapetech-EHC12-02.webp | tapetech-EHC12-03.webp | tapetech-EHC12-04.webp | tapetech-EHC12-05.webp,tapetech-EHC12-01.webp,tapetech-EHC12-01.webp | tapetech-EHC12-02.webp | tapetech-EHC12-03.webp | tapetech-EHC12-04.webp | tapetech-EHC12-05.webp,mapped
TT-POWER-ASSIST-MAXXBOX,variable,TapeTech Power Assist® MAXXBOX® Finishing Box,children,21,tapetech-PAHC07-01.webp | tapetech-PAHC07-02.webp | tapetech-PAHC07-03.webp | tapetech-PAHC07-04.webp | tapetech-PAHC07-05.webp | tapetech-PAHC07-06.webp | tapetech-PAHC07-07.webp | tapetech-PAHC10-01.webp | tapetech-PAHC10-02.webp | tapetech-PAHC10-03.webp | tapetech-PAHC10-04.webp | tapetech-PAHC10-05.webp | tapetech-PAHC10-06.webp | tapetech-PAHC10-07.webp | tapetech-PAHC12-01.webp | tapetech-PAHC12-02.webp | tapetech-PAHC12-03.webp | tapetech-PAHC12-04.webp | tapetech-PAHC12-05.webp | tapetech-PAHC12-06.webp | tapetech-PAHC12-07.webp,,tapetech-PAHC07-01.webp | tapetech-PAHC07-02.webp | tapetech-PAHC07-03.webp | tapetech-PAHC07-04.webp | tapetech-PAHC07-05.webp | tapetech-PAHC07-06.webp | tapetech-PAHC07-07.webp | tapetech-PAHC10-01,mapped
PAHC07,variation,"TapeTech Power Assist® MAXXBOX® Finishing Box - 7""",primary:sku_direct,7,tapetech-PAHC07-01.webp | tapetech-PAHC07-02.webp | tapetech-PAHC07-03.webp | tapetech-PAHC07-04.webp | tapetech-PAHC07-05.webp | tapetech-PAHC07-06.webp | tapetech-PAHC07-07.webp,tapetech-PAHC07-01.webp,tapetech-PAHC07-01.webp | tapetech-PAHC07-02.webp | tapetech-PAHC07-03.webp | tapetech-PAHC07-04.webp | tapetech-PAHC07-05.webp | tapetech-PAHC07-06.webp | tapetech-PAHC07-07.webp,mapped
PAHC10,variation,"TapeTech Power Assist® MAXXBOX® Finishing Box - 10""",primary:sku_direct,7,tapetech-PAHC10-01.webp | tapetech-PAHC10-02.webp | tapetech-PAHC10-03.webp | tapetech-PAHC10-04.webp | tapetech-PAHC10-05.webp | tapetech-PAHC10-06.webp | tapetech-PAHC10-07.webp,tapetech-PAHC10-01.webp,tapetech-PAHC10-01.webp | tapetech-PAHC10-02.webp | tapetech-PAHC10-03.webp | tapetech-PAHC10-04.webp | tapetech-PAHC10-05.webp | tapetech-PAHC10-06.webp | tapetech-PAHC10-07.webp,mapped
PAHC12,variation,"TapeTech Power Assist® MAXXBOX® Finishing Box - 12""",primary:sku_direct,7,tapetech-PAHC12-01.webp | tapetech-PAHC12-02.webp | tapetech-PAHC12-03.webp | tapetech-PAHC12-04.webp | tapetech-PAHC12-05.webp | tapetech-PAHC12-06.webp | tapetech-PAHC12-07.webp,tapetech-PAHC12-01.webp,tapetech-PAHC12-01.webp | tapetech-PAHC12-02.webp | tapetech-PAHC12-03.webp | tapetech-PAHC12-04.webp | tapetech-PAHC12-05.webp | tapetech-PAHC12-06.webp | tapetech-PAHC12-07.webp,mapped
TT-COMPOUND-ROLLER-WITH-FRAME,variable,TapeTech Premium Compound Roller with Frame,children,13,tapetech-CROLL04CG-01.webp | tapetech-CROLL04CG-002.webp | tapetech-CROLL04CG-003.webp | tapetech-CROLL04CG-004.webp | tapetech-CROLL04CG-005.webp | tapetech-CROLL09CG-01.webp | tapetech-CROLL09CG-002.webp | tapetech-CROLL09CG-003.webp | tapetech-CROLL09CG-004.webp | tapetech-CROLL12CG-01.webp | tapetech-CROLL12CG-002.webp | tapetech-CROLL12CG-003.webp | tapetech-CROLL12CG-004.webp,,tapetech-CROLL04CG-01.webp | tapetech-CROLL04CG-002.webp | tapetech-CROLL04CG-003.webp | tapetech-CROLL04CG-004.webp | tapetech-CROLL04CG-005.webp | tapetech-CROLL09CG-01.webp | tapetech-CROLL09CG-002,mapped
CROLL04CG,variation,"TapeTech Premium Compound Roller with Frame - 4""",secondary:sku_direct,5,tapetech-CROLL04CG-01.webp | tapetech-CROLL04CG-002.webp | tapetech-CROLL04CG-003.webp | tapetech-CROLL04CG-004.webp | tapetech-CROLL04CG-005.webp,tapetech-CROLL04CG-01.webp,tapetech-CROLL04CG-01.webp | tapetech-CROLL04CG-002.webp | tapetech-CROLL04CG-003.webp | tapetech-CROLL04CG-004.webp | tapetech-CROLL04CG-005.webp,mapped
CROLL09CG,variation,"TapeTech Premium Compound Roller with Frame - 9""",secondary:sku_direct,4,tapetech-CROLL09CG-01.webp | tapetech-CROLL09CG-002.webp | tapetech-CROLL09CG-003.webp | tapetech-CROLL09CG-004.webp,tapetech-CROLL09CG-01.webp,tapetech-CROLL09CG-01.webp | tapetech-CROLL09CG-002.webp | tapetech-CROLL09CG-003.webp | tapetech-CROLL09CG-004.webp,mapped
CROLL12CG,variation,"TapeTech Premium Compound Roller with Frame - 12""",secondary:sku_direct,4,tapetech-CROLL12CG-01.webp | tapetech-CROLL12CG-002.webp | tapetech-CROLL12CG-003.webp | tapetech-CROLL12CG-004.webp,tapetech-CROLL12CG-01.webp,tapetech-CROLL12CG-01.webp | tapetech-CROLL12CG-002.webp | tapetech-CROLL12CG-003.webp | tapetech-CROLL12CG-004.webp,mapped
TT-PREMIUM-CARBON-STEEL-JOINT-KNIFE,variable,TapeTech Premium Carbon Steel Joint Knife,children,3,tapetech-JK04CSTT-01.webp | tapetech-JK05CSTT-01.webp | tapetech-JK06CSTT-01.webp,,tapetech-JK04CSTT-01.webp | tapetech-JK05CSTT-01.webp | tapetech-JK06CSTT-01.webp,mapped
JK04CSTT,variation,"TapeTech Premium Carbon Steel Joint Knife - 4""",primary:sku_direct,1,tapetech-JK04CSTT-01.webp,tapetech-JK04CSTT-01.webp,tapetech-JK04CSTT-01.webp,mapped
JK05CSTT,variation,"TapeTech Premium Carbon Steel Joint Knife - 5""",primary:sku_direct,1,tapetech-JK05CSTT-01.webp,tapetech-JK05CSTT-01.webp,tapetech-JK05CSTT-01.webp,mapped
JK06CSTT,variation,"TapeTech Premium Carbon Steel Joint Knife - 6""",primary:sku_direct,1,tapetech-JK06CSTT-01.webp,tapetech-JK06CSTT-01.webp,tapetech-JK06CSTT-01.webp,mapped
TT-X-MARGIN-TROWEL,variable,TapeTech X Margin Trowel,children,3,tapetech-VMARG05-01.webp | tapetech-VMARG06-01.webp | tapetech-VMARG08-01.webp,,tapetech-VMARG05-01.webp | tapetech-VMARG06-01.webp | tapetech-VMARG08-01.webp,mapped
VMARG05,variation,"TapeTech X Margin Trowel - 5""",primary:sku_direct,1,tapetech-VMARG05-01.webp,tapetech-VMARG05-01.webp,tapetech-VMARG05-01.webp,mapped
VMARG06,variation,"TapeTech X Margin Trowel - 6""",primary:sku_direct,1,tapetech-VMARG06-01.webp,tapetech-VMARG06-01.webp,tapetech-VMARG06-01.webp,mapped
VMARG08,variation,"TapeTech X Margin Trowel - 8""",primary:sku_direct,1,tapetech-VMARG08-01.webp,tapetech-VMARG08-01.webp,tapetech-VMARG08-01.webp,mapped
TT-X-PREMIUM-GOLD-STAINLESS-STEEL-CURVED-FINISHING,variable,TapeTech X Premium Gold Stainless Steel Curved Finishing Trowel,children,10,tapetech-TG110565-PSCU-01.webp | tapetech-TG120565-PSCU-01.webp | tapetech-TG120565-PSCU-02.webp | tapetech-TG120565-PSCU-03.webp | tapetech-TG120565-PSCU-04.webp | tapetech-TG140565-PSCU-01.webp | tapetech-TG140565-PSCU-02.webp | tapetech-TG140565-PSCU-03.webp | tapetech-TG140565-PSCU-04.webp | tapetech-TG140565-PSCU-05.webp,,tapetech-TG110565-PSCU-01.webp | tapetech-TG120565-PSCU-01.webp | tapetech-TG120565-PSCU-02.webp | tapetech-TG120565-PSCU-03.webp | tapetech-TG120565-PSCU-04.webp | tapetech-TG140565-PSCU-01.webp | ta,mapped
TG110565-PSCU,variation,"TapeTech X Premium Gold Stainless Steel Curved Finishing Trowel - 11""",primary:sku_direct,1,tapetech-TG110565-PSCU-01.webp,tapetech-TG110565-PSCU-01.webp,tapetech-TG110565-PSCU-01.webp,mapped
TG120565-PSCU,variation,"TapeTech X Premium Gold Stainless Steel Curved Finishing Trowel - 12""",primary:sku_direct,4,tapetech-TG120565-PSCU-01.webp | tapetech-TG120565-PSCU-02.webp | tapetech-TG120565-PSCU-03.webp | tapetech-TG120565-PSCU-04.webp,tapetech-TG120565-PSCU-01.webp,tapetech-TG120565-PSCU-01.webp | tapetech-TG120565-PSCU-02.webp | tapetech-TG120565-PSCU-03.webp | tapetech-TG120565-PSCU-04.webp,mapped
TG140565-PSCU,variation,"TapeTech X Premium Gold Stainless Steel Curved Finishing Trowel - 14""",primary:sku_direct,5,tapetech-TG140565-PSCU-01.webp | tapetech-TG140565-PSCU-02.webp | tapetech-TG140565-PSCU-03.webp | tapetech-TG140565-PSCU-04.webp | tapetech-TG140565-PSCU-05.webp,tapetech-TG140565-PSCU-01.webp,tapetech-TG140565-PSCU-01.webp | tapetech-TG140565-PSCU-02.webp | tapetech-TG140565-PSCU-03.webp | tapetech-TG140565-PSCU-04.webp | tapetech-TG140565-PSCU-05.webp,mapped
TT-CORNER-APPLICATOR,variable,TapeTech Corner Applicator,children,10,tapetech-CA07TT-01.webp | tapetech-CA07TT-02.webp | tapetech-CA07TT-03.webp | tapetech-CA07TT-04.webp | tapetech-CA07TT-05.webp | tapetech-CA08TT-01.webp | tapetech-CA08TT-02.webp | tapetech-CA08TT-03.webp | tapetech-CA08TT-04.webp | tapetech-CA08TT-05.webp,,tapetech-CA07TT-01.webp | tapetech-CA07TT-02.webp | tapetech-CA07TT-03.webp | tapetech-CA07TT-04.webp | tapetech-CA07TT-05.webp | tapetech-CA08TT-01.webp | tapetech-CA08TT-02.webp | tapetech-CA08TT-03,mapped
CA07TT,variation,"TapeTech Corner Applicator - 7""",primary:sku_direct,5,tapetech-CA07TT-01.webp | tapetech-CA07TT-02.webp | tapetech-CA07TT-03.webp | tapetech-CA07TT-04.webp | tapetech-CA07TT-05.webp,tapetech-CA07TT-01.webp,tapetech-CA07TT-01.webp | tapetech-CA07TT-02.webp | tapetech-CA07TT-03.webp | tapetech-CA07TT-04.webp | tapetech-CA07TT-05.webp,mapped
CA08TT,variation,"TapeTech Corner Applicator - 8""",primary:sku_direct,5,tapetech-CA08TT-01.webp | tapetech-CA08TT-02.webp | tapetech-CA08TT-03.webp | tapetech-CA08TT-04.webp | tapetech-CA08TT-05.webp,tapetech-CA08TT-01.webp,tapetech-CA08TT-01.webp | tapetech-CA08TT-02.webp | tapetech-CA08TT-03.webp | tapetech-CA08TT-04.webp | tapetech-CA08TT-05.webp,mapped
TT-GAUGING-TROWEL,variable,TapeTech Gauging Trowel,children,2,tapetech-VGAUGE180-01.webp | tapetech-VGAUGE200-01.webp,,tapetech-VGAUGE180-01.webp | tapetech-VGAUGE200-01.webp,mapped
VGAUGE180,variation,"TapeTech Gauging Trowel - 7""",primary:sku_direct,1,tapetech-VGAUGE180-01.webp,tapetech-VGAUGE180-01.webp,tapetech-VGAUGE180-01.webp,mapped
VGAUGE200,variation,"TapeTech Gauging Trowel - 8""",primary:sku_direct,1,tapetech-VGAUGE200-01.webp,tapetech-VGAUGE200-01.webp,tapetech-VGAUGE200-01.webp,mapped
TT-QUICKBOX-QSX,variable,TapeTech QuickBox® QSX Fast - Setting Finishing Box,children,11,tapetech-QB06-QSX-01.webp | tapetech-QB06-QSX-02.webp | tapetech-QB06-QSX-03.webp | tapetech-QB06-QSX-04.webp | tapetech-QB06-QSX-05.webp | tapetech-QB06-QSX-08.webp | tapetech-QB06-QSX-09.webp | tapetech-QB08-QSX-01.webp | tapetech-QB08-QSX-02.webp | tapetech-QB08-QSX-04.webp | tapetech-QB08-QSX-05.webp,,tapetech-QB06-QSX-01.webp | tapetech-QB06-QSX-02.webp | tapetech-QB06-QSX-03.webp | tapetech-QB06-QSX-04.webp | tapetech-QB06-QSX-05.webp | tapetech-QB06-QSX-08.webp | tapetech-QB06-QSX-09.webp | tape,mapped
QB06-QSX,variation,"TapeTech QuickBox® QSX Fast - Setting Finishing Box - 6.5""",primary:sku_direct,7,tapetech-QB06-QSX-01.webp | tapetech-QB06-QSX-02.webp | tapetech-QB06-QSX-03.webp | tapetech-QB06-QSX-04.webp | tapetech-QB06-QSX-05.webp | tapetech-QB06-QSX-08.webp | tapetech-QB06-QSX-09.webp,tapetech-QB06-QSX-01.webp,tapetech-QB06-QSX-01.webp | tapetech-QB06-QSX-02.webp | tapetech-QB06-QSX-03.webp | tapetech-QB06-QSX-04.webp | tapetech-QB06-QSX-05.webp | tapetech-QB06-QSX-08.webp | tapetech-QB06-QSX-09.webp,mapped
QB08-QSX,variation,"TapeTech QuickBox® QSX Fast - Setting Finishing Box - 8.5""",primary:sku_direct,4,tapetech-QB08-QSX-01.webp | tapetech-QB08-QSX-02.webp | tapetech-QB08-QSX-04.webp | tapetech-QB08-QSX-05.webp,tapetech-QB08-QSX-01.webp,tapetech-QB08-QSX-01.webp | tapetech-QB08-QSX-02.webp | tapetech-QB08-QSX-04.webp | tapetech-QB08-QSX-05.webp,mapped
TT-ANGLE-BOX-WITH-FHTT-HANDLE,variable,TapeTech Corner Applicator with FHTT Fiberglass Handle,children,4,tapetech-CA07-FHTT-01.webp | tapetech-CA08-FHTT-01.webp | tapetech-CA08-FHTT-002.webp | tapetech-CA08-FHTT-004.webp,,tapetech-CA07-FHTT-01.webp | tapetech-CA08-FHTT-01.webp | tapetech-CA08-FHTT-002.webp | tapetech-CA08-FHTT-004.webp,mapped
CA07-FHTT,variation,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""",secondary:sku_direct,1,tapetech-CA07-FHTT-01.webp,tapetech-CA07-FHTT-01.webp,tapetech-CA07-FHTT-01.webp,mapped
CA08-FHTT,variation,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""",secondary:sku_direct,3,tapetech-CA08-FHTT-01.webp | tapetech-CA08-FHTT-002.webp | tapetech-CA08-FHTT-004.webp,tapetech-CA08-FHTT-01.webp,tapetech-CA08-FHTT-01.webp | tapetech-CA08-FHTT-002.webp | tapetech-CA08-FHTT-004.webp,mapped
TT-BASIC-FULL-SET-WITH-AND-BOXES,variable,TapeTech Basic Full Set with Boxes,children,2,tapetech-TT-FULL-10-12-01.webp | tapetech-TT-FULL-7-10-01.webp,,tapetech-TT-FULL-10-12-01.webp | tapetech-TT-FULL-7-10-01.webp,mapped
TT-FULL-10-12,variation,"TapeTech Basic Full Set with Boxes - 10""",secondary:sku_direct,1,tapetech-TT-FULL-10-12-01.webp,tapetech-TT-FULL-10-12-01.webp,tapetech-TT-FULL-10-12-01.webp,mapped
TT-FULL-7-10,variation,"TapeTech Basic Full Set with Boxes - 7""",secondary:sku_direct,1,tapetech-TT-FULL-7-10-01.webp,tapetech-TT-FULL-7-10-01.webp,tapetech-TT-FULL-7-10-01.webp,mapped
TT-EASYCLEAN-NAIL-SPOTTER,variable,TapeTech EasyClean® Nail Spotter,children,6,tapetech-NS02TT-01.webp | tapetech-NS02TT-02.webp | tapetech-NS02TT-03.webp | tapetech-NS03TT-01.webp | tapetech-NS03TT-02.webp | tapetech-NS03TT-03.webp,,tapetech-NS02TT-01.webp | tapetech-NS02TT-02.webp | tapetech-NS02TT-03.webp | tapetech-NS03TT-01.webp | tapetech-NS03TT-02.webp | tapetech-NS03TT-03.webp,mapped
NS02TT,variation,"TapeTech EasyClean® Nail Spotter - 2""",primary:sku_direct,3,tapetech-NS02TT-01.webp | tapetech-NS02TT-02.webp | tapetech-NS02TT-03.webp,tapetech-NS02TT-01.webp,tapetech-NS02TT-01.webp | tapetech-NS02TT-02.webp | tapetech-NS02TT-03.webp,mapped
NS03TT,variation,"TapeTech EasyClean® Nail Spotter - 3""",primary:sku_direct,3,tapetech-NS03TT-01.webp | tapetech-NS03TT-02.webp | tapetech-NS03TT-03.webp,tapetech-NS03TT-01.webp,tapetech-NS03TT-01.webp | tapetech-NS03TT-02.webp | tapetech-NS03TT-03.webp,mapped
TT-EASYCLEAN-NAIL-SPOTTER-W-FHTT-HANDLE,variable,TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle,children,2,tapetech-NS02-FHTT-01.webp | tapetech-NS03-FHTT-01.webp,,tapetech-NS02-FHTT-01.webp | tapetech-NS03-FHTT-01.webp,mapped
NS02-FHTT,variation,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""",secondary:sku_direct,1,tapetech-NS02-FHTT-01.webp,tapetech-NS02-FHTT-01.webp,tapetech-NS02-FHTT-01.webp,mapped
NS03-FHTT,variation,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""",secondary:sku_direct,1,tapetech-NS03-FHTT-01.webp,tapetech-NS03-FHTT-01.webp,tapetech-NS03-FHTT-01.webp,mapped
TT-FINISHING-KNIFE-WITH-HANDLE,variable,TapeTech Premium Finishing Knife with Support Handle/Adapter,none,0,,,,missing
72056,variation,"TapeTech Premium Finishing Knife with Support Handle/Adapter - 24""",none,0,,,,missing
72061,variation,"TapeTech Premium Finishing Knife with Support Handle/Adapter - 32""",none,0,,,,missing
TT-WIZARD-COMPACT-FLAT-BOX-HANDLE,variable,TapeTech Wizard™ Compact Flat Box Handle,children,8,tapetech-8000TT-01.webp | tapetech-8000TT-02.webp | tapetech-8000TT-03.webp | tapetech-8000TT-04.webp | tapetech-8000TT-05.webp | tapetech-8000TT-PA-01.webp | tapetech-8000TT-PA-02.webp | tapetech-8000TT-PA-03.webp,,tapetech-8000TT-01.webp | tapetech-8000TT-02.webp | tapetech-8000TT-03.webp | tapetech-8000TT-04.webp | tapetech-8000TT-05.webp | tapetech-8000TT-PA-01.webp | tapetech-8000TT-PA-02.webp | tapetech-800,mapped
8000TT,variation,TapeTech Wizard™ Compact Flat Box Handle - 8000TT,primary:sku_direct,5,tapetech-8000TT-01.webp | tapetech-8000TT-02.webp | tapetech-8000TT-03.webp | tapetech-8000TT-04.webp | tapetech-8000TT-05.webp,tapetech-8000TT-01.webp,tapetech-8000TT-01.webp | tapetech-8000TT-02.webp | tapetech-8000TT-03.webp | tapetech-8000TT-04.webp | tapetech-8000TT-05.webp,mapped
8000TT-PA,variation,TapeTech Wizard™ Compact Flat Box Handle - 8000TT-PA,primary:sku_direct,3,tapetech-8000TT-PA-01.webp | tapetech-8000TT-PA-02.webp | tapetech-8000TT-PA-03.webp,tapetech-8000TT-PA-01.webp,tapetech-8000TT-PA-01.webp | tapetech-8000TT-PA-02.webp | tapetech-8000TT-PA-03.webp,mapped
TT-TTSFS,variable,TapeTech Standard Full Set,children,4,tapetech-TTSFS-01.webp | tapetech-TTSFS-2-01.webp | tapetech-TTSFS-2-02.webp | tapetech-TTSFS-2-03.webp,,tapetech-TTSFS-01.webp | tapetech-TTSFS-2-01.webp | tapetech-TTSFS-2-02.webp | tapetech-TTSFS-2-03.webp,mapped
TTSFS,variation,TapeTech Standard Full Set - TTSFS,primary:sku_direct,1,tapetech-TTSFS-01.webp,tapetech-TTSFS-01.webp,tapetech-TTSFS-01.webp,mapped
TTSFS-2,variation,TapeTech Standard Full Set - TTSFS-2,primary:sku_direct,3,tapetech-TTSFS-2-01.webp | tapetech-TTSFS-2-02.webp | tapetech-TTSFS-2-03.webp,tapetech-TTSFS-2-01.webp,tapetech-TTSFS-2-01.webp | tapetech-TTSFS-2-02.webp | tapetech-TTSFS-2-03.webp,mapped
