"Product Name","SKU","Description","Specifications","Unit Price (USD)","Image URL(s)"
"16"" Stainless Steel Mud Pan","5-336","Mud Pan","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PREMIUM QUALITY | Rigid 21 gauge (0.0315), polished stainless steel. Heli-arc welded end caps provide outstanding strength and water-tight seams. Straight, sheared edges for fast, easy and clean putty knife swipes."" | ERGONOMIC | Contoured bottom for a comfortable grip, as well as easy mixing and cleanout. Designed for all-day use with less fatigue. | BUILT TO LAST | LEVEL5 Tools are built for daily use by industry professionals. | GUARANTEED PERFORMANCE | Our tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$20.79","https://drywalltoolbox.com/brands/Level5/5-336.webp"
"10"" Stainless Steel Taping Knife w/ Soft Grip Handle","5-136","Taping Knife","","$15.59","https://drywalltoolbox.com/brands/Level5/5-136.webp"
"12"" Stainless Steel Taping Knife w/ Soft Grip Handle","5-137","Taping Knife","FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | PRO-GRADE | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. A heavy-guage aluminum back plate provides outstanding strength and rigidity. | DURABLE | These knives are built to provide many years of reliability.","$16.79","https://drywalltoolbox.com/brands/Level5/5-137.webp"
"4"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-140","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$12.39","https://drywalltoolbox.com/brands/Level5/5-140.webp"
"3"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-139","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$11.59","https://drywalltoolbox.com/brands/Level5/5-139.webp"
"1"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-147","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$9.59","https://drywalltoolbox.com/brands/Level5/5-147.webp"
"9"" Radial Sander w/ 48"" Fixed Pole","5-344","Drywall Sanding Kit","UNIFORM FINISHING | The spinning radial design provides a consistent, swirl-free sanding finish day in, day out. Circular shape eliminates flipping or skipping on the wall. | EASY ON CORNERS | Features a rubber bumper so you can sand inside corners without damaging the opposing wall. | HOOK & LOOP ATTACHMENT | Utilizes the hook & loop system for quick, easy sanding pad replacements. Fits LEVEL5 9”  80, 120, 150, 180, 200, & 220 grit sanding discs or any other compatible sanding discs. | AIM HIGH | The included 48” pole securely attaches to the sanding head for a comfortable, lightweight experience on the wall. | BUILT TO LAST | Both the sanding head and pole are built from anodized aluminum for improved corrosion resistance and longevity.","$47.99","https://drywalltoolbox.com/brands/Level5/5-344.webp"
"Joint & Taping Knives, Mixer, Jab Saw, Mud Pan + Free Bag","5-682","","","","https://drywalltoolbox.com/brands/Level5/5-682.webp"
"13"" Drywall Finishing Hawk","5-325","Finishing Hawk","COMFORTABLE | Soft-grip, ergonomic handle and durable foam pad for comfortable, all-day use | VERSATILE | Hollow handle for mounting on scaffold or workstations | EASY-CLEAN | Handle is removable for easy cleaning and storage","$39.99","https://drywalltoolbox.com/brands/Level5/5-325.webp"
"6"" Stainless Steel Clipped Knife w/ Soft Grip Handle","5-201","Clipped Knives","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | HIGH-QUALITY DESIGN | Lightweight, solvent resistant, nylon handle ergonomically designed for all day use with minimal fatigue. Large hang hole. | BUILT TO LAST | Our tools are built for reliable, daily use on the job site. Designed and built using nearly 20 years of input from professional finishers. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$11.59","https://drywalltoolbox.com/brands/Level5/5-201.webp"
"6"" Welded Stainless Steel Joint Knife","5-406","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$17.59","https://drywalltoolbox.com/brands/Level5/5-406.webp"
"20"" Flat Tool Bag","5-360","Tool Bag","","$99.99","https://drywalltoolbox.com/brands/Level5/5-360.webp"
"14"" Stainless Steel Taping Knife w/ Soft Grip Handle","5-138","Taping Knife","FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | PRO-GRADE | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. A heavy-guage aluminum back plate provides outstanding strength and rigidity. | DURABLE | These knives are built to provide many years of reliability.","$17.59","https://drywalltoolbox.com/brands/Level5/5-138.webp"
"Hawk & 0.7mm Trowel Set","5-460","Trowel & Hawk Set","","$121.85","https://drywalltoolbox.com/brands/Level5/5-460.webp"
"Stainless Steel Joint Knife Set","5-602","Joint Knife Set","","$61.84","https://drywalltoolbox.com/brands/Level5/5-602.webp"
"32"" Long Mixing Paddle w/ 5"" Head","5-291","Mixing Paddle","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PATENT PENDING HEAD | Reduces drag and wear on power drills by over 20%. Paddle design provides splatter-free operation by pulling material down into the center of the mixer head. Smooth paddle edges won't scrape plastic from the mixing bucket. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$25.99","https://drywalltoolbox.com/brands/Level5/5-291.webp"
"120 Grit 9"" Radial Sander Disc - 10 Pack","5-346","Drywall Sanding Discs","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 120 & 150 grit sandpaper is best suited for an intermediate sanding between finishing coats. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-346.webp"
"Welded Joint, Taping, & Specialty Knives, Mixer, Jab Saw, Mud Pan + Free Bag","5-683","Contractor's Hand Tool Set w/ Bag","","$326.12","https://drywalltoolbox.com/brands/Level5/5-683.webp"
"28"" Long Mixing Paddle w/ 4"" Head","5-294","Mixing Paddle","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PATENT PENDING HEAD | Reduces drag and wear on power drills by over 20%. Paddle design provides splatter-free operation by pulling material down into the center of the mixer head. Smooth paddle edges won't scrape plastic from the mixing bucket. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$21.59","https://drywalltoolbox.com/brands/Level5/5-294.webp"
"Premium Joint & Taping Knives, Mixer, Jab Saw, Mud Pan + Free Bag","5-680","Finisher's Hand Tool Set w/ Bag","","$227.17","https://drywalltoolbox.com/brands/Level5/5-680.webp"
"3-Pack 8/12/16"" Offset Knife Finishing Set","5-862","OffSet Taping Knife Set","","","https://drywalltoolbox.com/brands/Level5/5-862.webp"
"Stainless Steel Joint Knife 3-Pack w/ Soft Grip Handle","5-651","Joint Knife Set","PROFESSIONAL GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance | VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more… | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue.  Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely “broken-in"" from the first moment you use it. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$35.62","https://drywalltoolbox.com/brands/Level5/5-651.webp"
"5"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-141","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$13.19","https://drywalltoolbox.com/brands/Level5/5-141.webp"
"6"" Drywall Saw with Carbon Steel Blade","5-100","Keyhole Jab Saw","PROFESSIONAL GRADE | This professional grade LEVEL5 Tools jab saw is guaranteed to exceed your expectations for quality, performance and reliability. | PREMIUM QUALITY | Heavy duty, rigid high-carbon steel blade will not bend. Hardened and tempered to stay sharp for a long service life. Precision cross-ground teeth cut in both push and pull directions for fast, clean, and effortless cutting. | ERGONOMIC | Lightweight, impact resistant, full soft comfort grip handle ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Larger handle guard for better penetrating leverage and improved safety. | BUILT TO LAST | Our tools are built for reliable, daily use on the jobsite. | GUARANTEED PERFORMANCE | Our tools are developed by professionals, for professionals, and guaranteed to exceed your expectations. | OTHER FEATURES | Deep gullets between saw teeth keeps blade free of material. Sharpened tip easily punches through drywall or similar materials. Plated for corrosion resistance.","$13.19","https://drywalltoolbox.com/brands/Level5/5-100.webp"
"12"" Stainless Steel Big Back Taping Knife w/ Soft Grip Handles","5-194","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable daily use on the job site. | FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight comfortable and ergonomically designed for all-day use with minimal fatigue.  Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | FEATURES | Alloy metal hammer end for resetting drywall nails also adds blade protection when dropped. Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$17.99","https://drywalltoolbox.com/brands/Level5/5-194.webp"
"220 Grit 9"" Radial Sander Disc - 10 Pack","5-350","Drywall Sanding Head","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 220 grit sandpaper is ideal for smoothing out final imperfections in your finish prior to painting or wallpapering. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-350.webp"
"12"" Drywall Finishing Trowel with 0.7mm Flat Blade","4-961","Finishing Trowel","FLAT BLADE | Designed to provide smooth and even application of drywall compound, plaster, EIFS or stucco. | PROFESSIONAL FINISHING | LEVEL5 flat blade trowels can be used on their own to provide superior compound distribution along walls, or in conjunction with curved blade trowels when leveling butt joints and seams. | MULTIPLE SIZES | LEVEL5 flat blade trowels are available in four sizes: 12”, 14”, 16” and 18”. | ROBUST DESIGN |Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable, and robotically welded super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs. | PREMIUM BLADE | European hardened 0.7mm stainless steel blades. | ERGONOMIC GRIP | Patented leather composite handles mold to fit your grip providing all day comfort and on hands and wrist. | GUARANTEED PERFORMANCE | If you're not satisfied with your purchase within the first 30 days, returns through LEVEL5 are simple.","$43.19","https://drywalltoolbox.com/brands/Level5/4-961.webp"
"3.5"" Stainless Steel Pointed Knife w/ Soft Grip Handle","5-202","Pointed Knives","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site. | PREMIUM QUALITY | Flexible stainless steel blade will not rust and is mirror-polished for easy cleanup | ERGONOMIC | Lightweight, impact resistant nylon handle designed for daily professional use with minimal fatigue. | BUILT TO LAST | LEVEL5 Tools are built for daily use by industry professionals. | GUARANTEED PERFORMANCE | Our tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$11.59","https://drywalltoolbox.com/brands/Level5/5-202.webp"
"DIY Hand Tool Set","5-625","DIY Hand Tool Sets","","$95.95","https://drywalltoolbox.com/brands/Level5/5-625.webp"
"Welded Joint, Taping, & Specialty Knives, Mixers, Jab Saw, Mud Pan + Free Duffel Bag","5-690","Professional Hand Tool Set w/ Duffel Bag","","$496.72","https://drywalltoolbox.com/brands/Level5/5-690.webp"
"8"" Stainless Steel Taping Knife w/ Soft Grip Handle","5-134","Taping Knife","FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | PRO-GRADE | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. A heavy-guage aluminum back plate provides outstanding strength and rigidity. | DURABLE | These knives are built to provide many years of reliability.","$14.79","https://drywalltoolbox.com/brands/Level5/5-134.webp"
"Premium Stainless Steel Hand Tool Set","5-623","Hand Tool Set","","$123.68","https://drywalltoolbox.com/brands/Level5/5-623.webp"
"6"" Carbon Steel Joint Knife w/ Soft Grip Handle","5-152","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it."" | EASY CLEANUP | Mirror polished to reduce mud accumulation. | NOT CORROSION RESISTANT! Carbon steel blades offer outstanding finishing performance, but require special care between uses (see below). Choose from our stainless steel options if you require corrosion resistance.","$13.19","https://drywalltoolbox.com/brands/Level5/5-152.webp"
"6"" Stainless Steel Taping Knife w/ Composite Handle","5-516","Taping Knife","PRO-GRADE QUALITY | The handle core is double riveted to the back plate using stainless steel rivets prior to overmolding. | PREMIUM STAINLESS STEEL BLADE | Medium flex provides excellent feel and performance. Corrosion resistant. | HEAVY GAUGE ALUMINUM BACK PLATE | Provides outstanding strength and rigidity. | SOLID COMPOSITE HANDLE | Lightweight polypropylene composite is impact and solvent-resistant. Features an alloy hammer end for resetting drywall screws and nails. A full-length internal blade tang provides maximum strength and durability. | ERGONOMIC PROFILE | Proprietary handle profile developed through finisher feedback to minimize hand fatigue. | AUTHENTIC LEVEL5 BRAND | If the quality, performance and reliability of your tools matters, choose LEVEL5.","$8.79","https://drywalltoolbox.com/brands/Level5/5-516.webp"
"Premium Joint, Taping, & Specialty Knives, Mixer, Jab Saw, Mud Pan + Free Bag","5-681","Contractor's Hand Tool Set w/ Bag","","$287.88","https://drywalltoolbox.com/brands/Level5/5-681.webp"
"6-Pack 8/12/16"" Offset Knife Scraping & Finishing Set","5-863","OffSet Taping Knife Set","","","https://drywalltoolbox.com/brands/Level5/5-863.webp"
"8"" Stainless Steel Joint Knife w/ Soft Grip Handle","5-144","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. Soft grip provides all-day comfort, even when wet. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$14.79","https://drywalltoolbox.com/brands/Level5/5-144.webp"
"180 Grit 9"" Radial Sander Disc - 10 Pack","5-348","Drywall Sanding Discs","UNIFORM FINISHING | Designed to provide a consistent, swirl-free sanding finish day in, day out. 180 grit sandpaper is ideal for smoothing out minor imperfections in your finish. | SECURE ATTACHMENT | These sanding pads utilize the hook & loop system for an easy, robust attachment to the LEVEL5 radial sanding head (SKU# 5-342) or any other compatible sanding head. | PREMIUM MATERIALS | Built from premium abrasives & heavy duty paper to reduce tearing. | MANY GRITS | Available in 80, 120, 150, 180, 200, & 220 grit, there is a sanding disc to suit any finishing need. | PROFESSIONAL GRADE | LEVEL5 Radial Sanding discs have been designed using nearly 20 years of finisher feedback.","$15.59","https://drywalltoolbox.com/brands/Level5/5-348.webp"
"12"" Drywall Finishing Trowel with 0.7mm Curved Blade","4-971","Finishing Trowel","CURVED BLADE DESIGN | Designed to provide expert coverage on drywall seams, these trowels have a concave curved blade (approx. ⅛-inch curve) and are designed for intermediate coats, where butt joints and seams require additional coverage and leveling | PROFESSIONAL FINISHING | LEVEL5 curved trowels can be used in conjunction with flat trowels. They provide specific coverage where seams are slightly uneven, and when mud has to be distributed with less horizontal pressure. | PREMIUM BLADE | Triple-hardened 0.7mm European stainless steel.  Precision-ground edges and corners ensure these trowels feel ""broken in"" right out of the box. | PROPRIETARY ERGONOMIC GRIP | Patented leather composite handle grips mold to fit your hand, providing all day comfort with less hand/wrist strain. | BUILT TO LAST | Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable, and robotically welded super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs. | MULTIPLE LENGTHS AVAILABLE | LEVEL5 curved blade trowels are available in three lengths: 12”, 14” and 16” | GUARANTEED PERFORMANCE | If you're not satisfied with your purchase within the first 30 days, returns through LEVEL5 are simple.","$43.19","https://drywalltoolbox.com/brands/Level5/4-971.webp"
"12"" Stainless Steel 0.5mm Flex Blade Offset Taping Knife","5-385","0.5mm Flex Offset Knife","0.5mm FLEX BLADE | With a 4"" deep blade, this FLEX version is ideal for finishing coats and offers perfect flex for maximum feel and control. | HIGH PERFORMANCE | Handle offset from the blade edge enables you to lay the blade flatter against the wall for a smoother, tighter finish. Produce a top notch finish easier and more efficiently, while simultaneously reducing wrist and hand fatigue | ADD A HANDLE | Ergonomic handle design that enables you to mount the knife to a standard painter's pole or a LEVEL5 extendable skimming blade handle (using the included adapter with 180+ degrees of angle adjustment for perfect comfort). | FLEXIBLE DESIGN | Threaded, removable die-cast zinc hammer end can be used to reset drywall screws. Also protects from mud accumulation inside handle when angle adapter is not used. | LIFETIME GUARANTEE | LEVEL5 Offset Finishing Knives come with the company's legendary Lifetime Guarantee against defects in materials and workmanship.","$27.99","https://drywalltoolbox.com/brands/Level5/5-385.webp"
"14"" Drywall Finishing Trowel with 0.7mm Flat Blade","4-962","Finishing Trowel","FLAT BLADE | Designed to provide smooth and even application of drywall compound, plaster, EIFS or stucco. | PROFESSIONAL FINISHING | LEVEL5 flat blade trowels can be used on their own to provide superior compound distribution along walls, or in conjunction with curved blade trowels when leveling butt joints and seams. | MULTIPLE SIZES | LEVEL5 flat blade trowels are available in four sizes: 12”, 14”, 16” and 18”. | ROBUST DESIGN |Precision powder-coated aluminum handle mount that is rigid yet lightweight and durable, and robotically welded super-strong surface-mounted rivets that last longer than typical ""through-rivet"" designs. | PREMIUM BLADE | European hardened 0.7mm stainless steel blades. | ERGONOMIC GRIP | Patented leather composite handles mold to fit your grip providing all day comfort and on hands and wrist. | GUARANTEED PERFORMANCE | If you're not satisfied with your purchase within the first 30 days, returns through LEVEL5 are simple.","$46.79","https://drywalltoolbox.com/brands/Level5/4-962.webp"
"3"" Welded Stainless Steel Joint Knife","5-403","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$14.79","https://drywalltoolbox.com/brands/Level5/5-403.webp"
"Blue Steel Taping Knife Set","5-605","Taping Knife Set","","$85.08","https://drywalltoolbox.com/brands/Level5/5-605.webp"
"8"" Welded Stainless Steel Joint Knife","5-408","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$18.39","https://drywalltoolbox.com/brands/Level5/5-408.webp"
"10"" Blue Steel Taping Knife w/ Soft Grip Handle","5-126","Taping Knife","PLEASE NOTE: This professional finish tool features a blue steel blade. It requires proper care and storage or it will corrode/rust (see care instructions in description below). | FULL SOFT-GRIP HANDLE | Lightweight, comfortable and ergonomically designed for all-day use with minimal fatigue. Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable, daily use on the job site.","$13.99","https://drywalltoolbox.com/brands/Level5/5-126.webp"
"10"" Stainless Steel Big Back Taping Knife w/ Soft Grip Handles","5-192","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable daily use on the job site. | FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight comfortable and ergonomically designed for all-day use with minimal fatigue.  Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | FEATURES | Alloy metal hammer end for resetting drywall nails also adds blade protection when dropped. Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$17.19","https://drywalltoolbox.com/brands/Level5/5-192.webp"
"2"" Welded Stainless Steel Joint Knife","5-402","Joint Knife","VERSATILE | Ideal for setting & cutting drywall tape, applying joint compound & other filler materials, cleaning up drywall edges, scraping paint & residue, resetting exposed screws, and much more! | SUPER COMFORTABLE | LEVEL5 grip profile was developed through years of finisher feedback to minimize hand fatigue. | EASY TO USE | A lateral hollow grind provides proper flex midway up the stainless steel blade (versus near the handle). The blade feels nicely broken-in from the first moment you use it. | PRO-GRADE | LEVEL5 stainless steel alloy has higher carbon & iron than typical, providing enhanced flex and enabling the blade to hold an edge longer - while still providing excellent corrosion resistance. | EASY CLEANUP | Mirror polished to reduce mud accumulation.","$13.99","https://drywalltoolbox.com/brands/Level5/5-402.webp"
"10"" Stainless Steel 0.6mm Stiff Blade Offset Taping Knife","5-382","0.6mm Stiff Offset Knife","0.6mm STIFF BLADE |  With a 3.5” deep blade, this STIFF version is ideal for applying/smoothing joint compound on walls and ceilings, as well as for filling joints and outside corner beads. | HIGH PERFORMANCE | Offset handle enables you to lay the blades flatter against the wall for smoother, tighter finishes while avoiding hand contact with the fresh compound. | ADD A HANDLE | Removable hammer end enables this blade to be mounted to a LEVEL5 skimming blade pole, or any painter’s pole. | MATERIAL REMOVAL | Sturdy, square-edge blade also works great for scraping applications, such as removing popcorn ceilings. | GET THE PERFECT ANGLE | The pole adapter (included) allows for adjustment to any blade angle for maximum comfort. | LEVEL5 Offset Finishing Knives come with the company's Lifetime Guarantee against defects in materials and workmanship","$25.99","https://drywalltoolbox.com/brands/Level5/5-382.webp"
"16"" Stainless Steel Big Back Taping Knife w/ Soft Grip Handles","5-198","Taping Knife","PROFESSIONAL GRADE | Designed and built using nearly 20 years of input from professional finishers. Our tools are meant for reliable daily use on the job site. | FINISH FASTER | LEVEL5 medium-flex stainless blades are ideal for applying and floating coats of joint compound efficiently until a smooth finish is achieved. Features a Big-Back anodized backplate to hold more mud. | FULL SOFT-GRIP HANDLE | Lightweight comfortable and ergonomically designed for all-day use with minimal fatigue.  Glass reinforced nylon core. Impact and solvent resistant. Double riveted to the blade using stainless steel rivets. | FEATURES | Alloy metal hammer end for resetting drywall nails also adds blade protection when dropped. Large hang hole. Easy-peel label. | GUARANTEED PERFORMANCE | Our finishing tools are developed by professionals for professionals and guaranteed to exceed your expectations.","$19.59","https://drywalltoolbox.com/brands/Level5/5-198.webp"
