
Brand,Category,Product_Name,Variation/Size,MPN,Key_Features,Reason_for_Inclusion,Source_Citation
Columbia,High Capacity Boxes,Fat Boy Flat Box,5.5”,5.5FBB,Fat Boy design holds ~40% more compound than standard boxes; billet construction; hinged door; bead wheel axle; reduces trips to pump.,High-capacity box for longer runs between refills.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=8FBB%2010FBB%2012FBB%20Description%205,12%E2%80%9D%20Fat%20Boy%20Flat%20Box
Columbia,High Capacity Boxes,Fat Boy Flat Box,8”,8FBB,Fat Boy design holds ~40% more compound than standard boxes; billet construction; hinged door; bead wheel axle; reduces trips to pump.,High-capacity box for longer runs between refills.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=8FBB%2010FBB%2012FBB%20Description%205,12%E2%80%9D%20Fat%20Boy%20Flat%20Box
Columbia,Mud Pumps,Box Filler,Standard,BF,Attachment for filling finishing boxes; durable construction.,Facilitates efficient loading of compound into boxes.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Gooseneck,Standard,GN,Gooseneck attachment for filling automatic tapers; sturdy construction.,Required to fill automatic tapers from pump.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Hot Mud Pump,Standard,HMP,Anodized aluminum cylinder; durable stainless steel shaft; precision machined cast head; billet aluminum leg.,Essential pump for loading taping tools with compound.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Hot Mud Pump (CDN),Canadian version,HMP-C,Version sized for Canadian taller buckets; same high-quality construction.,Provides compatibility with Canadian buckets.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Tall Boy Box Filler,Tall Boy,TBBF,Tall version for use with Tall Boy pump; durable design.,Ensures compatibility with Tall Boy pump height.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Tall Boy Gooseneck,Tall Boy,TBGN,Gooseneck sized for Tall Boy pump; durable design.,Ensures proper filling height with Tall Boy pump.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Mud Pumps,Tall Boy Hot Mud Pump,Tall Boy,TBMP,Extra height allows pumping from taller buckets and reduces bending; same construction as standard pump.,Improves ergonomics when working with large compound buckets.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=MUD%20PUMPS%20Our%20Mud%20Pumps,fits%20in%20taller%20CDN%20buckets
Columbia,Nail Spotters,Nail Spotter,2”,2NS,Lightweight design; hinged door for easy cleaning; adjustable thumb tension screw.,Fills and finishes fastener indentations quickly.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%202NS%203NS%20HNSA,Kit%203%E2%80%9D%20Wheel%20Conversion%20Kit
Columbia,Nail Spotters,Nail Spotter,3”,3NS,Larger 3-inch size; hinged door for cleaning; adjustable tension.,Provides size option for larger fastener indentations.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No.%202NS%203NS%20HNSA,Kit%203%E2%80%9D%20Wheel%20Conversion%20Kit
Columbia,Sanders,Columbia Sander Head,Sander Head,CS,Machined billet aluminum body; no-flip design; attaches to standard paint handle thread.,Durable sander head for finish sanding.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20Phantom%20Sander%20is,Twist%20Lock%20Handle%20w%20PHA
Columbia,Sanders,Columbia Sander Pole,Pole,CSH,Extends 26” to 46”; works with Sander Head; includes 30 ft hose.,Allows ergonomic sanding at varying heights.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20Phantom%20Sander%20is,Twist%20Lock%20Handle%20w%20PHA
Columbia,Sanders,Phantom DDM Sander,Dustless Sander,PDDM,Dust-free sander head with pole and hose; connects to vacuum; extends 26” to 46”.,Provides dustless sanding for drywall finishing.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=The%20Columbia%20Phantom%20Sander%20is,Twist%20Lock%20Handle%20w%20PHA
Columbia,Semi-Automatic Tools,Semi-Automatic Taper,Standard,SAT,Bucket-style taper applies mud and tape with brake-controlled spool; laser-engraved instructions; billet aluminum head.,Semi-automatic alternative for applying compound to tape quickly.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=Item%20No,Tube%2055%E2%80%9D%20Cam%20Lock%20Tube
Columbia,Smoothing Blades,Tomalock Adapter,Adapter,CLTHA,Adapter that connects Tomahawk blades to Columbia One or Twist Lock handles.,Allows blades to be used with versatile handle system.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,10”,TSB-10,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,12”,TSB-12,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,14”,TSB-14,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,18”,TSB-18,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,24”,TSB-24,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,32”,TSB-32,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,40”,TSB-40,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,48”,TSB-48,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Smoothing Blades,Tomahawk Smoothing Blade,7”,TSB-7,Billet aluminum body; no plastic parts; replaceable blades; compatible with box handles or Tomalock adapter.,High-strength smoothing blade for finishing surfaces.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=SMOOTHING%20BLADES%20Made%20of%20strong,Tomahawk%2040%E2%80%9D%20Tomahawk%2048%E2%80%9D%20Tomahawk
Columbia,Tool Cases,Columbia Road Case,Case,RC,Durable road case with wheels and handles; fits automatic tools; measures 17” x 9” x 57”.,Provides protective storage and mobility for large tools.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=22%20THE%20TOOL%20CASES%20GET,TCS%20RC
Columbia,Tool Cases,Columbia Gun Case,Case,TCS,Plastic case with eggshell foam; fits complete semi-automatic tool set; lightweight yet strong.,Protects and transports tools.,www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=22%20THE%20TOOL%20CASES%20GET,TCS%20RC
Columbia,Tool Sets,Predator Tactical Set,Full Set,PTS,"Complete tool set including automatic or Predator taper, 10"" and 12"" flat boxes, 8"" throttle box, angle head, hot mud pump, box filler and gooseneck, corner roller, nail spotter, Columbia One handles, Tomahawk smoothing blades (7"", 12"", 18"", 32""), tool case and accessories for all major taping tasks","Provides ready‑to‑use assortment of professional taping tools for contractors, easing the transition from hand to semi‑automatic or automatic systems",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FFBR9,Set%20Commando%20Set%20Warrior%20Set
Columbia,Tool Sets,Commando Set,Full Set,SACS,"Complete tool set including automatic or Predator taper, 10"" and 12"" flat boxes, 8"" throttle box, angle head, hot mud pump, box filler and gooseneck, corner roller, nail spotter, Columbia One handles, Tomahawk smoothing blades (7"", 12"", 18"", 32""), tool case and accessories for all major taping tasks","Provides ready‑to‑use assortment of professional taping tools for contractors, easing the transition from hand to semi‑automatic or automatic systems",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FFBR9,Set%20Commando%20Set%20Warrior%20Set
Columbia,Tool Sets,Tactical Set,Full Set,TS,"Complete tool set including automatic or Predator taper, 10"" and 12"" flat boxes, 8"" throttle box, angle head, hot mud pump, box filler and gooseneck, corner roller, nail spotter, Columbia One handles, Tomahawk smoothing blades (7"", 12"", 18"", 32""), tool case and accessories for all major taping tasks","Provides ready‑to‑use assortment of professional taping tools for contractors, easing the transition from hand to semi‑automatic or automatic systems",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FFBR9,Set%20Commando%20Set%20Warrior%20Set
Columbia,Tool Sets,Warrior Set,Full Set,TWS,"Complete tool set including automatic or Predator taper, 10"" and 12"" flat boxes, 8"" throttle box, angle head, hot mud pump, box filler and gooseneck, corner roller, nail spotter, Columbia One handles, Tomahawk smoothing blades (7"", 12"", 18"", 32""), tool case and accessories for all major taping tasks","Provides ready‑to‑use assortment of professional taping tools for contractors, easing the transition from hand to semi‑automatic or automatic systems",www.columbiatools.com/wp-content/uploads/2024/06/customercatalogue2024-3.pdf-3.pdf#:~:text=FFBR9,Set%20Commando%20Set%20Warrior%20Set
Dura-Stilt,Drywall Stilts,Dura-Stilt Model III,Adjustable 14”-22”,D14-22,Semi-flexible foot and floor plates; nylon leg bearings at pivot points; beefed-up adjustment holes with steel inserts; adjustable leg support strut; self-locking buckles with heavy-duty webbing; reinforced rubber soles; 225 lb capacity.,Reliable adjustable stilts for drywall professionals; multiple heights available.,https://www.alstapingtools.com/dura-stilts-dura-iii-adjustable-drywall-stilts-24-40/#:~:text=The%20Dura,designs%20for%20over%20three%20decades
Dura-Stilt,Drywall Stilts,Dura-Stilt Model III,Adjustable 18”-30”,D18-30,Semi-flexible foot and floor plates; nylon leg bearings; strengthened adjustment holes; adjustable leg support; self-locking buckles; reinforced rubber soles; 225 lb capacity.,Provides mid-range height option for contractors.,https://www.alstapingtools.com/dura-stilts-dura-iii-adjustable-drywall-stilts-24-40/#:~:text=The%20Dura,designs%20for%20over%20three%20decades
Dura-Stilt,Drywall Stilts,Dura-Stilt Model III,Adjustable 24”-40”,D24-40,Same durable features as other sizes; extended height range; 225 lb capacity.,Allows reaching higher ceilings without additional equipment.,https://www.alstapingtools.com/dura-stilts-dura-iii-adjustable-drywall-stilts-24-40/#:~:text=The%20Dura,designs%20for%20over%20three%20decades
Dura-Stilt,Drywall Stilts,Dura-Stilt Model III,Adjustable 38”-64”,D38-64,Adjustable to very tall heights; same durable construction; nylon bearings and reinforced soles; 225 lb capacity.,Provides maximum height range for tall ceilings and high-reach work.,https://www.alstapingtools.com/dura-stilts-dura-iii-adjustable-drywall-stilts-24-40/#:~:text=The%20Dura,designs%20for%20over%20three%20decades
Graco,Texture Sprayers,Mark IV Sprayer,Standard,16W897,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark IV Sprayer,Standard,16W898,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark V Sprayer,Standard,16W905,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark V Sprayer,Standard,16W906,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark X Sprayer,Standard,16W908,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark V Sprayer,Standard,16W939,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark V Sprayer,Standard,16W940,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark X Sprayer,Standard,16X099,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,Mark V Sprayer,Standard,16X947,"Electric airless sprayer for paint and texture; model number corresponds to Standard, ProContractor or IronMan configurations.",Offers various models for contractors with different throughput needs.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Graco,Texture Sprayers,TexSpray Mark V HD ProContractor,ProContractor,17E606,High-output paint and texture sprayer delivering 20% more productivity than Mark IV; Endurance Vortex MaxLife pump for longer life; BlueLink job & sprayer management; QuickReel hose management; QuikChange pump.,Flagship 3-in-1 texture sprayer combining power and technology for large jobs.,
Graco,Texture Sprayers,Mark V XT HD ProContractor,XT ProContractor,19F552,Xtreme Torque motor; rapid-response pressure control; high-output design; suitable for heavy texture applications.,Upgraded model delivering maximum power and durability.,www.graco.com/content/dam/graco/tech_documents/manuals/332/332918/historic/332918EN-A.pdf#:~:text=16W897%20Mark%20IV%20120%20%E2%9C%93,%E2%9C%93%20%E2%9C%93%2016W908%20Mark%20X
Level5,Automatic Tapers,Level5 Automatic Taper,Standard,4-760,Precision-machined aluminum and stainless components; quick-clean head with thumb screw; applies mud and tape simultaneously.,Core tool for automatic taping at an affordable price.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=AUTOMATIC%20TAPER%20MINISHOT%20%C2%83%20Increase,%EF%AC%81nish%20quality%20your%20customers%20expect
Level5,Finishing Boxes,Flat Box,7”,4-764,Precision-machined parts; anodized aluminum housing; 6 settings for compound flow; hinged lid; flexible brass blade holder.,Standard finishing box for applying joint compound; multiple sizes for different coats.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=FLAT%20BOXES%20FLAT%20BOX%20HANDLES,770%20SIZE%20%28MEGA
Level5,Finishing Boxes,Flat Box,10”,4-765,Precision-machined parts; anodized aluminum housing; 6 settings for compound flow; hinged lid; flexible brass blade holder.,Standard finishing box for applying joint compound; multiple sizes for different coats.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=FLAT%20BOXES%20FLAT%20BOX%20HANDLES,770%20SIZE%20%28MEGA
Level5,Finishing Boxes,Flat Box,12”,4-766,Precision-machined parts; anodized aluminum housing; 6 settings for compound flow; hinged lid; flexible brass blade holder.,Standard finishing box for applying joint compound; multiple sizes for different coats.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=FLAT%20BOXES%20FLAT%20BOX%20HANDLES,770%20SIZE%20%28MEGA
Level5,Finishing Boxes,Flat Box,14”,4-770,Precision-machined parts; anodized aluminum housing; 6 settings for compound flow; hinged lid; flexible brass blade holder.,Standard finishing box for applying joint compound; multiple sizes for different coats.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=FLAT%20BOXES%20FLAT%20BOX%20HANDLES,770%20SIZE%20%28MEGA
Level5,Handles,Flat Box Handle,34” Fixed,4-711,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,42” Fixed,4-712,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,54” Fixed,4-740,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,48”-78” Extension,4-759,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,40”-62” Extension,4-780,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,30”-42” Extension,4-781,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,Handles,Flat Box Handle,23”-32” Extension,4-782,Heavy-gauge aluminum handle; extendable or fixed; stainless steel lever brake; anodized for corrosion resistance.,Provides ergonomic reach and control for Level5 boxes.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%C2%83%20Compatible%20with%20LEVEL5%20%EF%AC%82at,740
Level5,High Capacity Boxes,Mega Flat Box,7”,4-767,Same construction as standard boxes but holds 30% more compound; reduces trips to pump; color-anodized aluminum housing.,High-capacity box for longer runs between refills.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=MEGA%20FLAT%20BOXES%20Mega%20%EF%AC%82at,769
Level5,High Capacity Boxes,Mega Flat Box,10”,4-768,Same construction as standard boxes but holds 30% more compound; reduces trips to pump; color-anodized aluminum housing.,High-capacity box for longer runs between refills.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=MEGA%20FLAT%20BOXES%20Mega%20%EF%AC%82at,769
Level5,High Capacity Boxes,Mega Flat Box,12”,4-769,Same construction as standard boxes but holds 30% more compound; reduces trips to pump; color-anodized aluminum housing.,High-capacity box for longer runs between refills.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=MEGA%20FLAT%20BOXES%20Mega%20%EF%AC%82at,769
Level5,Semi-Automatic Tools,Level5 MiniShot,Standard,4-772,"45.5"" MiniShot delivers compound through finishing heads with pressurized gas cylinder; provides consistent flow; reduces wrist and shoulder strain.",Pressurized compound tube for consistent flow to heads.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=%E2%80%A2%20%20%20%20The,your%20wrists%2C%20shoulders%20%26%20back
Level5,Semi-Automatic Tools,Level5 MiniShot Extension Handle,Extension,4-773,Extension handle for MiniShot; reaches higher walls and ceilings.,Provides additional reach for MiniShot system.,werkteh.hr/wp-content/uploads/2025/09/LEVEL5_General_Tools_Catalog_2025_PROOF.pdf#:~:text=MiniShot%204,773
SurPro,Drywall Stilts,S1 Aluminum Stilts,16”-24”,S1-A-1624,Durable aluminum construction; Comfort wraparound leg bands; Key lock side poles; Interlock safety system; Non-marking Super Grip soles; adjustable springs.,Classic single-sided stilts with proven durability and adjustability.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=S1,40%E2%80%9D%20639945000440%207.95%20LBS
SurPro,Drywall Stilts,S1 Aluminum Stilts,20”-30”,S1-A-2030,Durable aluminum construction; Comfort wraparound leg bands; Key lock side poles; Interlock safety system; Non-marking Super Grip soles; adjustable springs.,Classic single-sided stilts with proven durability and adjustability.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=S1,40%E2%80%9D%20639945000440%207.95%20LBS
SurPro,Drywall Stilts,S1 Aluminum Stilts,26”-40”,S1-A-2640,Durable aluminum construction; Comfort wraparound leg bands; Key lock side poles; Interlock safety system; Non-marking Super Grip soles; adjustable springs.,Classic single-sided stilts with proven durability and adjustability.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=S1,40%E2%80%9D%20639945000440%207.95%20LBS
SurPro,Drywall Stilts,S1 Magnesium Stilts,16”-24”,S1-M-1624,Magnesium body reduces weight by 33%; Comfort wraparound leg bands; Key lock side poles with adjustable height; Auto-locking straps; Interlock enhanced safety system; Non-marking Super Grip soles; adjustable dual-action springs.,Lightweight single-sided stilts providing comfort and safety for contractors.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=MODEL%20NO,40%E2%80%9D%20639945000426%207.7%20LBS
SurPro,Drywall Stilts,S1 Magnesium Stilts,20”-30”,S1-M-2030,Magnesium body reduces weight by 33%; Comfort wraparound leg bands; Key lock side poles with adjustable height; Auto-locking straps; Interlock enhanced safety system; Non-marking Super Grip soles; adjustable dual-action springs.,Lightweight single-sided stilts providing comfort and safety for contractors.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=MODEL%20NO,40%E2%80%9D%20639945000426%207.7%20LBS
SurPro,Drywall Stilts,S1 Magnesium Stilts,26”-40”,S1-M-2640,Magnesium body reduces weight by 33%; Comfort wraparound leg bands; Key lock side poles with adjustable height; Auto-locking straps; Interlock enhanced safety system; Non-marking Super Grip soles; adjustable dual-action springs.,Lightweight single-sided stilts providing comfort and safety for contractors.,dn.shopify.com/s/files/1/0439/6056/5922/files/SurPro_Stilts_Catalog_24.1.pdf#:~:text=MODEL%20NO,40%E2%80%9D%20639945000426%207.7%20LBS
